size	B	temperature	job	energy	energy^2	magnetization	magnetization^2	aceptados
40	0.0	2.94	02  -1347.6634676903391        1822371.3013435700       -14.225847728726807        22428.021753039029       0.44808591038281792     
40	0.0	2.94	10  -1345.5060780550225        1816165.5943698017       0.53550863723608444        20068.779270633397       0.44870871025825793     
40	0.0	2.94	09  -1348.0831733845171        1822862.7869481766        13.943058221369162        19230.048624440180       0.44819771036045791     
40	0.0	2.94	03  -1348.3071017274472        1823759.8157389634        18.236724248240563        21631.483045425462       0.44774991045001789     
40	0.0	2.94	07  -1354.4977607165706        1840729.9705694178        30.110684580934102        24728.574536148433       0.44644031071193785     
40	0.0	2.94	05  -1346.4849648112604        1819128.5579014716       -11.435700575815739        18780.967370441460       0.44817871036425794     
40	0.0	2.94	04  -1346.3147792706334        1818168.5937300064        5.6634676903390915        20002.812539987204       0.44874471025105794     
40	0.0	2.94	01  -1348.2226487523992        1823505.9449776071        9.5271912987843894        19661.953934740883       0.44764791047041791     
40	0.0	2.94	08  -1350.9046705054382        1831083.6084452975        19.901471529110683        23388.127959053101       0.44716231056753791     
40	0.0	2.94	06  -1347.5700575815738        1821838.7715930901       -10.078694817658349        24339.985924504159       0.44823431035313793     
40	0.0	2.66	02  -1586.5834932821497        2524115.2808701214       -25.484325015994880        47160.030710172745       0.37513872497225503     
40	0.0	2.66	10  -1585.5559820857325        2521600.6142034549       -40.031349968010240        45011.619961612283       0.37465872506825498     
40	0.0	2.66	09  -1575.9193857965452        2490738.6973768394       -40.795265515035190        47104.433781190019       0.37727552454489510     
40	0.0	2.66	03  -1574.5003198976328        2485671.6775431861        19.270633397312860        32418.216250799745       0.37749772450045510     
40	0.0	2.66	07  -1575.2296865003200        2487885.9219449777        22.801023672424822        46734.733205374279       0.37798072440385511     
40	0.0	2.66	05  -1579.6289187460013        2502405.8144593728       -29.246960972488804        44357.846449136276       0.37647552470489504     
40	0.0	2.66	04  -1575.7056941778631        2489763.7261676262       -13.746641074856045        40689.619961612283       0.37763352447329512     
40	0.0	2.66	01  -1588.5860524632117        2530430.1369161867        64.483685220729370        49765.627639155471       0.37466352506729500     
40	0.0	2.66	08  -1582.1586692258477        2510731.0914907232        25.920025591810621        55181.434420985286       0.37588912482217501     
40	0.0	2.66	06  -1585.3358925143955        2520726.2546385159        6.6346769033909148        49506.413307741524       0.37516952496609501     
40	0.0	2.64	02  -1599.3384516954575        2565269.5329494560        7.3461292386436341        43623.237364043503       0.37082112583577481     
40	0.0	2.64	10  -1608.5259117082533        2594660.1919385795        29.282789507357645        57620.111324376201       0.36872212625557477     
40	0.0	2.64	09  -1602.1880998080615        2575004.3454894433       -39.357005758157392        56453.398592450416       0.37035812592837480     
40	0.0	2.64	03  -1602.1957773512477        2574446.4440179141       -6.0063979526551501        50988.450415866922       0.37036292592741482     
40	0.0	2.64	07  -1597.9987204094689        2560942.2495201537       -5.6730646193218170        52082.061420345490       0.37149872570025488     
40	0.0	2.64	05  -1598.5745361484326        2562522.0422264873        22.946257197696738        49567.351247600767       0.37094592581081481     
40	0.0	2.64	04  -1596.5860524632117        2556400.4197056941       -47.675623800383875        45602.245681381959       0.37170312565937486     
40	0.0	2.64	01  -1604.0191938579655        2580191.3397312858        13.928982725527831        41126.148432501599       0.37005612598877480     
40	0.0	2.64	08  -1602.0166346769033        2573280.6960972487        12.933461292386436        38290.629558541266       0.37044372591125480     
40	0.0	2.64	06  -1598.6973768394114        2562721.0850927704       -18.398592450415865        42993.227127319260       0.37151212569757486     
40	0.0	1.86	02  -2930.6500319897632        8591377.6839411389        1515.2693538067817        2296455.9181062062        5.0165389966922005E-002
40	0.0	1.86	10  -2928.9852847088932        8581691.7415227126        1514.6538707613563        2294598.5131158028        5.0556589888682023E-002
40	0.0	1.86	09  -2930.3723608445298        8589795.3166986573        1514.3909149072297        2293830.7319257837        5.0302589939482015E-002
40	0.0	1.86	03  -2929.2092130518236        8583072.5988483690        1514.3026231605886        2293561.6391554703        5.0586989882602025E-002
40	0.0	1.86	07  -2928.9545745361484        8581642.0626999363        1514.0626999360204        2292857.1362763913        5.0460189907962021E-002
40	0.0	1.86	05  -2929.3154190658988        8583800.3736404348        1514.3953934740882        2293851.3090211134        5.0450789909842017E-002
40	0.0	1.86	04  -2928.7677543186182        8580516.0639795270        1514.3934740882917        2293842.1433141395        5.0639389872122027E-002
40	0.0	1.86	01  -2927.7236084452975        8574419.7671145238        1513.3634037108125        2290750.9315419067        5.0908589818282036E-002
40	0.0	1.86	08  -2935.4766474728085        8619854.4696097244        1517.0147152911068        2301783.9206653871        4.9725790054841991E-002
40	0.0	1.86	06  -2931.1695457453616        8594772.7754318621        1515.2264875239923        2296399.8477287269        5.0294589941082012E-002
40	0.0	2.5	02  -1761.4318618042225        3110327.0582213691       -24.081253998720410        71921.651951375563       0.32557873488425304     
40	0.0	2.5	10  -1765.5841330774151        3126763.1477927063       -25.987204094689698        95158.377479206654       0.32443593511281299     
40	0.0	2.5	09  -1777.2104926423544        3166871.0531030069        189.90786948176583        105456.07933461292       0.32149893570021287     
40	0.0	2.5	03  -1778.9673704414588        3173540.1100447858       -76.168266154830448        134996.50031989763       0.32068553586289283     
40	0.0	2.5	07  -1770.5502239283430        3143761.1106845811       -64.930262316058858        137497.39219449775       0.32280273543945293     
40	0.0	2.5	05  -1769.0300703774792        3137848.0307101728        19.319897632757517        113544.63339731286       0.32355113528977292     
40	0.0	2.5	04  -1769.7747920665388        3140420.5911708255        75.942418426103643        88081.681381957780       0.32332593533481291     
